placement,lat,lng,altitude,speed,rpm,payload,accelleration,odometer,fuelRate,totalFuel,accelerator,brakePressure,brakeSwitch,parkingSwitch,gear,distanceTraveled,fuelConsumed,travelTime,emission,speedLimit,timestamp,brake,fuelConsumed_noRound
"{'x': 25532.497100830078, 'y': 187.0554962158203, 'z': -212.15863037109375, 'heading': 0.17749707400798798, 'pitch': 2.018700251937844e-05, 'roll': -7.95716987340711e-05}",49.20363645805277,7.951102871962144,187.1,-0.0,500,24.514,"{'x': 0.0002470772, 'y': -0.000936028839, 'z': 0.000105692874}",67.57608,0.0,941.4338,0,881,0.0,1,0,0.0,0.0,1,0.0,0,41101,0,0.0
"{'x': 25532.497100830078, 'y': 187.0554962158203, 'z': -212.15863037109375, 'heading': 0.17749707400798798, 'pitch': 2.018700251937844e-05, 'roll': -7.95716987340711e-05}",49.20363645805277,7.951102871962144,187.1,-0.0,500,24.514,"{'x': -9.38838639e-05, 'y': -0.002056432, 'z': 0.00109842967}",67.57608,1.44,941.4334,0,810,0.0,0,0,0.0,0.0,2,0.001,0,41102,0,0.0004000000000132786
"{'x': 25532.497100830078, 'y': 187.05548095703125, 'z': -212.15863037109375, 'heading': 0.17749707400798798, 'pitch': 1.551970672153402e-05, 'roll': -8.200020965887234e-05}",49.20363645805277,7.951102871962144,187.1,-0.0,500,24.514,"{'x': 0.000850187847, 'y': 0.0007211067, 'z': -0.0004868573}",67.57608,2.16,941.4328,0,812,0.0,0,0,0.0,0.001,3,0.003,0,41103,0,0.0009999999999763531
"{'x': 25532.432830810547, 'y': 187.05726623535156, 'z': -212.19154357910156, 'heading': 0.17741531133651733, 'pitch': 0.00034056080039590597, 'roll': -1.4798742995481007e-06}",49.2036367537158,7.951101988353869,187.1,0.8,386,24.514,"{'x': 0.0116051063, 'y': -0.01143363, 'z': -0.471947521}",67.57614,4.68,941.4315,23,813,0.0,0,1,0.22,0.002,4,0.006,0,41104,0,0.002299999999991087
"{'x': 25531.89892578125, 'y': 187.05812072753906, 'z': -212.52992248535156, 'heading': 0.17268316447734833, 'pitch': 0.0004395985451992601, 'roll': 9.600209523341618e-06}",49.20363979341133,7.951094648027765,187.1,3.0,639,24.514,"{'x': 0.219948083, 'y': -0.00285657169, 'z': -0.589036345}",67.57674,7.92,941.4293,64,814,0.0,0,1,1.05,0.005,5,0.012,0,41105,0,0.004500000000007276
"{'x': 25530.692413330078, 'y': 187.0606231689453, 'z': -213.63113403320312, 'heading': 0.14963887631893158, 'pitch': 0.0007159935194067657, 'roll': 0.0002422060933895409}",49.20364968571772,7.951078060443169,187.1,6.9,1449,24.514,"{'x': 0.7532788, 'y': -0.00302689662, 'z': -1.02118242}",67.5782852,30.6,941.4208,59,816,0.0,0,1,2.97,0.013,6,0.035,60,41106,0,0.013000000000033651
"{'x': 25529.271026611328, 'y': 187.05604553222656, 'z': -216.020263671875, 'heading': 0.09900978952646255, 'pitch': 3.18362690450158e-05, 'roll': 0.0002513509534765035}",49.20367114753625,7.951058518686747,187.1,9.2,1112,24.514,"{'x': -0.01894658, 'y': 0.006360491, 'z': -0.2504863}",67.58097,6.84,941.4189,14,819,0.0,0,3,5.53,0.015,7,0.04,60,41107,0,0.01490000000001146
"{'x': 25528.46270751953, 'y': 187.05760192871094, 'z': -219.2259063720703, 'heading': 0.048363108187913895, 'pitch': 0.0004990212037228048, 'roll': 0.00010958658822346479}",49.20369994418285,7.951047405613439,187.1,11.4,1389,24.514,"{'x': -0.9256457, 'y': -0.0244958, 'z': -0.742750645}",67.58419,30.96,941.4103,61,822,0.0,0,3,8.7,0.024,8,0.063,60,41108,0,0.023500000000012733
"{'x': 25527.9599609375, 'y': 187.05709838867188, 'z': -222.7460174560547, 'heading': 0.023844076320528984, 'pitch': 0.00023977758246473968, 'roll': 0.0004635801014956087}",49.203731565734095,7.951040493665326,187.1,13.6,1190,24.514,"{'x': 0.174545437, 'y': -0.00128070777, 'z': -0.347972244}",67.58771,14.76,941.4062,0,825,0.0,0,3,12.48,0.028,9,0.074,60,41109,0,0.02760000000000673
"{'x': 25528.096313476562, 'y': 187.0615234375, 'z': -227.3392333984375, 'heading': 0.9974644780158997, 'pitch': 0.0005753295845352113, 'roll': -5.2175055316183716e-05}",49.20377282710619,7.951042368291049,187.1,14.7,1062,24.514,"{'x': -0.9295945, 'y': -0.0288647525, 'z': -0.400435418}",67.59226,21.24,941.4003,65,828,0.0,0,5,16.56,0.034,10,0.089,60,41110,0,0.03350000000000364
"{'x': 25528.308868408203, 'y': 187.06399536132812, 'z': -232.52806091308594, 'heading': 0.9923884868621826, 'pitch': 0.0005751398275606334, 'roll': 0.00016164779663085938}",49.20381943892361,7.951045290575777,187.1,17.8,1288,24.514,"{'x': -0.35735634, 'y': -0.0100176381, 'z': -0.8631842}",67.5974045,42.84,941.3884,74,830,0.0,0,5,21.5,0.045,11,0.121,60,41111,0,0.04539999999997235
"{'x': 25528.365509033203, 'y': 187.04466247558594, 'z': -238.86585998535156, 'heading': 0.001445326954126358, 'pitch': -0.0002995037939399481, 'roll': 0.0004919253988191485}",49.20387637208093,7.951046069292282,187.0,21.5,1253,24.514,"{'x': -0.165652275, 'y': 0.0377092436, 'z': -0.705447}",67.60369,36.36,941.3783,0,834,0.0,0,5,27.47,0.056,12,0.148,60,41112,0,0.05550000000005184
"{'x': 25527.574188232422, 'y': 187.00604248046875, 'z': -246.0995635986328, 'heading': 0.022351520135998726, 'pitch': -0.0003537658485583961, 'roll': 0.001534363953396678}",49.20394135324885,7.95103518991784,187.0,23.3,1046,24.514,"{'x': -0.0883408338, 'y': -0.04671719, 'z': -0.558785}",67.61095,24.12,941.3716,100,836,0.0,0,7,33.94,0.062,13,0.166,60,41113,0,0.062200000000075306
"{'x': 25525.36636352539, 'y': 186.9793701171875, 'z': -253.78475952148438, 'heading': 0.0512375645339489, 'pitch': 0.00047003081999719143, 'roll': 0.0036912239156663418}",49.20401039022264,7.951004835917708,187.0,26.7,1197,24.514,"{'x': 0.379340351, 'y': 0.0343400836, 'z': -0.8956868}",67.6189,55.44,941.3562,100,839,0.0,0,7,41.36,0.078,14,0.207,60,41114,0,0.07760000000007494
"{'x': 25521.63592529297, 'y': 187.0019989013672, 'z': -262.1642761230469, 'heading': 0.07304877042770386, 'pitch': 0.0018563694320619106, 'roll': 0.006017093081027269}",49.20408566435668,7.950953548457141,187.0,30.4,1361,24.514,"{'x': 0.1859059, 'y': 0.0384888165, 'z': -0.8721481}",67.62801,62.64,941.3388,100,842,0.0,0,7,49.8,0.095,15,0.254,60,41115,0,0.09500000000002728
"{'x': 25517.140502929688, 'y': 187.12777709960938, 'z': -269.8080749511719, 'heading': 0.08817145973443985, 'pitch': 0.003979419823735952, 'roll': 0.008144734427332878}",49.204154329455754,7.950891743708525,187.1,32.7,1137,24.514,"{'x': 0.08426134, 'y': -0.000406816136, 'z': -0.331067026}",67.63684,25.56,941.3317,0,845,0.0,0,7,58.88,0.102,16,0.273,60,41116,0,0.10210000000006403
"{'x': 25510.98373413086, 'y': 187.4854736328125, 'z': -278.3471374511719, 'heading': 0.1053813174366951, 'pitch': 0.007708816789090633, 'roll': 0.00939572136849165}",49.20423103680843,7.950807098147518,187.5,33.0,1145,24.514,"{'x': -0.0334760621, 'y': -0.027662022, 'z': -0.109672219}",67.6473541,34.92,941.322,100,847,0.0,0,8,68.05,0.112,17,0.299,60,41117,0,0.11180000000001655
"{'x': 25503.598876953125, 'y': 188.054931640625, 'z': -286.2489318847656, 'heading': 0.12528635561466217, 'pitch': 0.008561983704566956, 'roll': 0.009789254516363144}",49.20430201951085,7.950705568367988,188.1,33.6,1169,24.514,"{'x': 0.08196492, 'y': -0.0359760523, 'z': -0.173841774}",67.65815,57.96,941.3059,100,850,0.0,0,8,77.38,0.128,18,0.341,60,41118,0,0.12790000000006785
"{'x': 25495.49237060547, 'y': 188.5382537841797, 'z': -293.31402587890625, 'heading': 0.1404711753129959, 'pitch': 0.007289139553904533, 'roll': 0.008151261135935783}",49.20436548603973,7.950594117085664,188.5,34.6,1202,24.514,"{'x': 0.00199972838, 'y': 0.0004824642, 'z': -0.2927507}",67.66888,57.6,941.2899,100,853,0.0,0,8,86.99,0.144,19,0.384,60,41119,0,0.14390000000003056
"{'x': 25486.266021728516, 'y': 189.02801513671875, 'z': -299.822509765625, 'heading': 0.15742582082748413, 'pitch': 0.007531079929322004, 'roll': 0.005455954931676388}",49.2044239524778,7.950467269789257,189.0,35.9,1247,24.514,"{'x': 0.0968027562, 'y': 0.02684486, 'z': -0.330300182}",67.68014,60.12,941.2732,100,856,0.0,0,8,96.96,0.161,20,0.429,60,41120,0,0.16060000000004493
