mean_speed,std_speed,max_speed,mean_accelerator,std_accelerator,max_accelerator,mean_brake,max_brake,tempo_con_freno,mean_rpm,std_rpm,gear_changes,mean_fuelRate,max_fuelRate,distance_traveled,duration_sec,IDS,stile_guida
85.69,13.283,101.4,11.006,30.317,100.0,1133.429,1272.0,23659,1446.107,180.428,141,29.404,82.0,295335.0,12395863,0.911,aggressivo
23.899,17.914,55.4,12.468,20.241,100.0,939.121,1000.0,141,1061.901,270.367,25,9.36,46.08,0.956,140,0.926,aggressivo
24.435,18.271,58.089,12.571,20.23,100.0,100.0,100.0,141,1101.807,250.198,38,368.23,701.19,0.956,140,0.421,medio
85.69,13.283,101.4,11.006,30.317,100.0,1133.429,1272.0,23659,1446.107,180.428,141,29.404,82.0,295335.0,12395863,0.993,aggressivo
85.695,13.286,101.4,11.007,30.317,100.0,100.0,100.0,23659,1447.879,175.445,140,607.278,937.0,287211.897,12395863,0.261,calmo
62.782,20.236,100.0,32.504,34.382,100.0,947.917,1000.0,1812,1116.377,141.557,89,21.289,87.48,38.896,1811,0.108,calmo
62.694,20.289,100.0,32.501,34.382,100.0,98.199,100.0,1812,1125.221,149.63,84,565.142,801.23,31.556,1811,0.5,medio
58.815,23.631,90.0,34.578,34.366,100.0,953.024,1000.0,2063,1149.636,207.851,104,21.366,83.52,39117.724,2062,0.199,calmo
58.816,23.627,90.0,34.578,34.366,100.0,100.0,100.0,2063,1170.38,206.61,98,586.127,804.53,33.704,2062,0.25,calmo
73.227,30.626,143.4,79.231,34.311,100.0,97.644,100.0,1344,1243.315,210.948,102,696.52,809.65,27.338,1343,0.405,medio
52.238,31.65,145.2,39.261,40.873,100.0,935.923,1000.0,2312,1126.589,301.496,108,21.306,69.48,33.895,2311,0.333,medio
52.208,31.633,145.2,39.261,40.872,100.0,99.635,100.0,2312,1145.093,276.889,117,582.088,807.56,33.529,2311,0.502,medio
24.138,23.375,84.7,29.542,30.838,100.0,952.175,1000.0,565,929.253,342.465,43,16.097,63.0,3.969,564,0.882,aggressivo
24.031,23.313,84.7,29.534,30.831,100.0,98.274,100.0,565,976.644,296.392,76,546.346,801.28,3.77,564,0.667,medio
10.636,13.289,41.6,8.584,12.647,34.0,912.684,1000.0,209,850.722,374.057,12,5.552,20.52,0.618,208,0.978,aggressivo
10.426,12.742,41.6,8.59,12.607,34.0,95.136,100.0,209,939.193,361.935,10,400.366,570.66,0.605,208,0.134,calmo
85.695,13.286,101.4,11.007,30.317,100.0,99.968,100.0,23659,1447.264,174.75,152,607.001,937.0,287211.474,12395863,0.148,calmo
62.782,20.236,100.0,32.504,34.382,100.0,947.917,1000.0,1812,1116.377,141.557,89,21.289,87.48,38.896,1811,0.115,calmo
44.008,24.468,66.9,36.525,21.675,62.0,948.033,1000.0,183,1074.12,245.199,14,14.849,26.64,2.237,182,0.285,calmo
44.303,23.757,69.577,36.558,21.644,61.761,96.168,100.0,183,1160.837,328.849,12,428.635,686.41,2.252,182,0.27,calmo
23.899,17.914,55.4,12.468,20.241,100.0,939.121,1000.0,141,1061.901,270.367,25,9.36,46.08,0.956,140,0.916,aggressivo
23.527,18.223,57.273,12.475,20.207,99.811,92.733,100.0,141,1076.376,238.688,36,375.987,701.19,0.921,140,0.906,aggressivo
62.788,20.238,100.0,32.504,34.382,100.0,99.145,100.0,1812,1122.953,146.263,101,565.654,801.23,31.603,1811,0.5,medio
58.815,23.631,90.0,34.578,34.366,100.0,953.024,1000.0,2063,1149.636,207.851,104,21.366,83.52,39117.724,2062,0.258,calmo
58.8,23.618,90.0,34.577,34.366,100.0,99.418,100.0,2063,1158.563,196.577,133,581.777,804.53,33.695,2062,0.25,calmo
73.346,30.567,143.4,79.233,34.308,100.0,98.043,100.0,1344,1229.443,199.172,102,687.609,809.65,27.382,1343,0.334,medio
52.238,31.65,145.2,39.261,40.873,100.0,935.923,1000.0,2312,1126.589,301.496,108,21.306,69.48,33.895,2311,0.333,medio
52.225,31.542,145.2,39.26,40.871,100.0,99.104,100.0,2312,1140.609,272.767,101,574.645,807.56,33.54,2311,0.501,medio
24.138,23.375,84.7,29.542,30.838,100.0,952.175,1000.0,565,929.253,342.465,43,16.097,63.0,3.969,564,0.809,aggressivo
24.263,23.418,84.7,29.55,30.843,100.0,100.0,100.0,565,968.635,291.126,86,547.283,801.28,3.806,564,0.234,calmo
10.636,13.289,41.6,8.584,12.647,34.0,912.684,1000.0,209,850.722,374.057,12,5.552,20.52,0.618,208,0.959,aggressivo
10.755,13.204,41.6,8.597,12.638,34.0,96.953,100.0,209,931.423,370.577,27,422.039,570.66,0.614,208,0.981,aggressivo
44.008,24.468,66.9,36.525,21.675,62.0,948.033,1000.0,183,1074.12,245.199,14,14.849,26.64,2.237,182,0.103,calmo
44.982,24.392,71.115,36.611,21.69,62.254,100.0,100.0,183,1136.083,285.451,12,455.624,668.57,2.287,182,0.104,calmo
85.658,14.16,110.32,14.496,29.767,136.757,1133.574,1321.469,23659,1444.84,200.429,23475,29.689,95.126,295335.0,12395863,0.175,calmo
85.65,14.165,112.927,14.485,29.744,134.316,1133.393,1330.418,23659,1446.634,200.547,23465,29.738,93.66,295335.0,12395863,0.29,calmo
85.632,14.165,110.567,14.545,29.697,133.512,1133.717,1332.474,23659,1445.609,199.738,23489,29.662,92.72,295335.0,12395863,0.843,aggressivo
85.692,14.214,115.641,14.531,29.825,135.581,1133.542,1328.528,23659,1445.439,200.025,23477,29.734,93.148,295335.0,12395863,0.959,aggressivo
85.738,14.209,110.52,14.535,29.877,134.331,1133.564,1335.477,23659,1446.952,200.709,23468,29.678,93.526,295335.0,12395863,0.5,medio
