placement,lat,lng,altitude,speed,rpm,payload,accelleration,odometer,fuelRate,totalFuel,accelerator,brakePressure,brakeSwitch,parkingSwitch,gear,distanceTraveled,fuelConsumed,travelTime,emission,speedLimit,timestamp,brake,fuelConsumed_noRound,instFuel
"{'x': 25532.497100830078, 'y': 187.0554962158203, 'z': -212.15863037109375, 'heading': 0.17749707400798798, 'pitch': 2.018700251937844e-05, 'roll': -7.95716987340711e-05}",49.20363645805277,7.951102871962144,187.1,-0.0,600.0,24.514,"{'x': 0.0002470772, 'y': -0.000936028839, 'z': 0.000105692874}",67.57608,440.5,941.4338,0.0,100.0,1,1,1,0.0,0.0,1,1145.3,0,41101,0,0.0,440.5
"{'x': 25532.497100830078, 'y': 187.0554962158203, 'z': -212.15863037109375, 'heading': 0.17749707400798798, 'pitch': 2.018700251937844e-05, 'roll': -7.95716987340711e-05}",49.20363645805277,7.951102871962144,187.1,-0.0,600.0,24.514,"{'x': -9.38838639e-05, 'y': -0.002056432, 'z': 0.00109842967}",67.57608,405.0,941.4334,0.0,100.0,1,0,1,0.0,0.0,2,1053.0,0,41102,0,0.0004000000000132,405.0
"{'x': 25532.497100830078, 'y': 187.05548095703125, 'z': -212.15863037109375, 'heading': 0.17749707400798798, 'pitch': 1.551970672153402e-05, 'roll': -8.200020965887234e-05}",49.20363645805277,7.951102871962144,187.1,-0.0,600.0,24.514,"{'x': 0.000850187847, 'y': 0.0007211067, 'z': -0.0004868573}",67.57608,406.0,941.4328,0.0,100.0,1,0,1,0.0,0.001,3,1055.6000000000001,0,41103,0,0.0009999999999763,406.0
"{'x': 25532.432830810547, 'y': 187.05726623535156, 'z': -212.19154357910156, 'heading': 0.17741531133651733, 'pitch': 0.00034056080039590597, 'roll': -1.4798742995481007e-06}",49.2036367537158,7.951101988353869,187.1,0.8,600.0,24.514,"{'x': 0.0116051063, 'y': -0.01143363, 'z': -0.471947521}",67.57630222222222,475.58,941.4315,23.0,100.0,1,0,1,0.00022222222222012533,0.002,4,1236.508,0,41104,0,0.002299999999991,475.58
"{'x': 25531.89892578125, 'y': 187.05812072753906, 'z': -212.52992248535156, 'heading': 0.17268316447734833, 'pitch': 0.0004395985451992601, 'roll': 9.600209523341618e-06}",49.20363979341133,7.951094648027765,187.1,3.0,639.0,24.514,"{'x': 0.219948083, 'y': -0.00285657169, 'z': -0.589036345}",67.57713555555556,599.3,941.4293,64.0,100.0,1,0,1,0.0010555555555527008,0.005,5,1558.1799999999998,0,41105,0,0.0045000000000072,599.3
"{'x': 25530.692413330078, 'y': 187.0606231689453, 'z': -213.63113403320312, 'heading': 0.14963887631893158, 'pitch': 0.0007159935194067657, 'roll': 0.0002422060933895409}",49.20364968571772,7.951078060443169,187.1,6.9,1449.0,24.514,"{'x': 0.7532788, 'y': -0.00302689662, 'z': -1.02118242}",67.57905222222223,585.69,941.4208,59.0,100.0,1,0,1,0.0029722222222261507,0.013,6,1522.794,60,41106,0,0.0130000000000336,585.69
"{'x': 25529.271026611328, 'y': 187.05604553222656, 'z': -216.020263671875, 'heading': 0.09900978952646255, 'pitch': 3.18362690450158e-05, 'roll': 0.0002513509534765035}",49.20367114753625,7.951058518686747,187.1,9.2,1112.0,24.514,"{'x': -0.01894658, 'y': 0.006360491, 'z': -0.2504863}",67.58160777777778,452.42,941.4189,14.0,100.0,1,0,3,0.005527777777771803,0.015,7,1176.2920000000001,60,41107,0,0.0149000000000114,452.42
"{'x': 25528.46270751953, 'y': 187.05760192871094, 'z': -219.2259063720703, 'heading': 0.048363108187913895, 'pitch': 0.0004990212037228048, 'roll': 0.00010958658822346479}",49.20369994418285,7.951047405613439,187.1,11.4,1389.0,24.514,"{'x': -0.9256457, 'y': -0.0244958, 'z': -0.742750645}",67.58477444444445,595.14,941.4103,61.0,100.0,1,0,3,0.008694444444444116,0.024,8,1547.364,60,41108,0,0.0235000000000127,595.14
"{'x': 25527.9599609375, 'y': 187.05709838867188, 'z': -222.7460174560547, 'heading': 0.023844076320528984, 'pitch': 0.00023977758246473968, 'roll': 0.0004635801014956087}",49.203731565734095,7.951040493665326,187.1,13.6,1190.0,24.514,"{'x': 0.174545437, 'y': -0.00128070777, 'z': -0.347972244}",67.58855222222223,413.86,941.4062,0.0,100.0,1,0,3,0.01247222222222888,0.028,9,1076.036,60,41109,0,0.0276000000000067,413.86
"{'x': 25528.096313476562, 'y': 187.0615234375, 'z': -227.3392333984375, 'heading': 0.9974644780158997, 'pitch': 0.0005753295845352113, 'roll': -5.2175055316183716e-05}",49.20377282710619,7.951042368291049,187.1,14.7,1062.0,24.514,"{'x': -0.9295945, 'y': -0.0288647525, 'z': -0.400435418}",67.59263555555556,610.47,941.4003,65.0,100.0,1,0,5,0.016555555555555657,0.034,10,1587.2220000000002,60,41110,0,0.0335000000000036,610.47
"{'x': 25528.308868408203, 'y': 187.06399536132812, 'z': -232.52806091308594, 'heading': 0.9923884868621826, 'pitch': 0.0005751398275606334, 'roll': 0.00016164779663085938}",49.20381943892361,7.951045290575777,187.1,17.8,1288.0,24.514,"{'x': -0.35735634, 'y': -0.0100176381, 'z': -0.8631842}",67.59758000000001,638.78,941.3884,74.0,100.0,1,0,5,0.021500000000003183,0.045,11,1660.828,60,41111,0,0.0453999999999723,638.78
"{'x': 25528.365509033203, 'y': 187.04466247558594, 'z': -238.86585998535156, 'heading': 0.001445326954126358, 'pitch': -0.0002995037939399481, 'roll': 0.0004919253988191485}",49.20387637208093,7.951046069292282,187.0,21.5,1253.0,24.514,"{'x': -0.165652275, 'y': 0.0377092436, 'z': -0.705447}",67.60355222222222,419.15,941.3783,0.0,100.0,1,0,5,0.027472222222215237,0.056,12,1089.79,60,41112,0,0.0555000000000518,419.15
"{'x': 25527.574188232422, 'y': 187.00604248046875, 'z': -246.0995635986328, 'heading': 0.022351520135998726, 'pitch': -0.0003537658485583961, 'roll': 0.001534363953396678}",49.20394135324885,7.95103518991784,187.0,23.3,1046.0,24.514,"{'x': -0.0883408338, 'y': -0.04671719, 'z': -0.558785}",67.61002444444445,720.3299999999999,941.3716,100.0,100.0,1,0,7,0.03394444444444389,0.062,13,1872.858,60,41113,0,0.0622000000000753,720.3299999999999
"{'x': 25525.36636352539, 'y': 186.9793701171875, 'z': -253.78475952148438, 'heading': 0.0512375645339489, 'pitch': 0.00047003081999719143, 'roll': 0.0036912239156663418}",49.20401039022264,7.951004835917708,187.0,26.7,1197.0,24.514,"{'x': 0.379340351, 'y': 0.0343400836, 'z': -0.8956868}",67.61744111111112,722.1700000000001,941.3562,100.0,100.0,1,0,7,0.04136111111111518,0.078,14,1877.6420000000003,60,41114,0,0.0776000000000749,722.1700000000001
"{'x': 25521.63592529297, 'y': 187.0019989013672, 'z': -262.1642761230469, 'heading': 0.07304877042770386, 'pitch': 0.0018563694320619106, 'roll': 0.006017093081027269}",49.20408566435668,7.950953548457141,187.0,30.4,1361.0,24.514,"{'x': 0.1859059, 'y': 0.0384888165, 'z': -0.8721481}",67.62588555555556,724.04,941.3388,100.0,100.0,1,0,7,0.049805555555550995,0.095,15,1882.504,60,41115,0,0.0950000000000272,724.04
"{'x': 25517.140502929688, 'y': 187.12777709960938, 'z': -269.8080749511719, 'heading': 0.08817145973443985, 'pitch': 0.003979419823735952, 'roll': 0.008144734427332878}",49.20415432945576,7.950891743708525,187.1,32.7,1137.0,24.514,"{'x': 0.08426134, 'y': -0.000406816136, 'z': -0.331067026}",67.63496888888889,425.77,941.3317,0.0,100.0,1,0,7,0.058888888888887436,0.102,16,1107.002,60,41116,0,0.102100000000064,425.77
"{'x': 25510.98373413086, 'y': 187.4854736328125, 'z': -278.3471374511719, 'heading': 0.1053813174366951, 'pitch': 0.007708816789090633, 'roll': 0.00939572136849165}",49.20423103680843,7.950807098147518,187.5,33.0,1145.0,24.514,"{'x': -0.0334760621, 'y': -0.027662022, 'z': -0.109672219}",67.64413555555556,726.8,941.322,100.0,100.0,1,0,8,0.06805555555555998,0.112,17,1889.6799999999998,60,41117,0,0.1118000000000165,726.8
"{'x': 25503.598876953125, 'y': 188.054931640625, 'z': -286.2489318847656, 'heading': 0.12528635561466217, 'pitch': 0.008561983704566956, 'roll': 0.009789254516363144}",49.20430201951085,7.950705568367988,188.1,33.6,1169.0,24.514,"{'x': 0.08196492, 'y': -0.0359760523, 'z': -0.173841774}",67.6534688888889,728.36,941.3059,100.0,100.0,1,0,8,0.0773888888888905,0.128,18,1893.736,60,41118,0,0.1279000000000678,728.36
"{'x': 25495.49237060547, 'y': 188.5382537841797, 'z': -293.31402587890625, 'heading': 0.1404711753129959, 'pitch': 0.007289139553904533, 'roll': 0.008151261135935783}",49.20436548603973,7.950594117085664,188.5,34.6,1202.0,24.514,"{'x': 0.00199972838, 'y': 0.0004824642, 'z': -0.2927507}",67.66308000000001,729.96,941.2899,100.0,100.0,1,0,8,0.0870000000000033,0.144,19,1897.8960000000002,60,41119,0,0.1439000000000305,729.96
"{'x': 25486.266021728516, 'y': 189.02801513671875, 'z': -299.822509765625, 'heading': 0.15742582082748413, 'pitch': 0.007531079929322004, 'roll': 0.005455954931676388}",49.2044239524778,7.950467269789257,189.0,35.9,1247.0,24.514,"{'x': 0.0968027562, 'y': 0.02684486, 'z': -0.330300182}",67.67305222222222,731.5899999999999,941.2732,100.0,100.0,1,0,8,0.09697222222222024,0.161,20,1902.1339999999998,60,41120,0,0.1606000000000449,731.5899999999999
"{'x': 25475.808349609375, 'y': 189.592529296875, 'z': -305.4375, 'heading': 0.1791778802871704, 'pitch': 0.008705569431185722, 'roll': 0.0020965265575796366}",49.20447439256255,7.950323493800216,189.6,37.2,1289.0,24.514,"{'x': 0.00253751129, 'y': 0.00696472824, 'z': -0.267097741}",67.68338555555556,733.22,941.2557,100.0,100.0,1,0,8,0.10730555555555554,0.178,21,1906.372,60,41121,0,0.1780999999999721,733.22
