placement,lat,lng,altitude,speed,rpm,payload,accelleration,odometer,fuelRate,totalFuel,accelerator,brakePressure,brakeSwitch,parkingSwitch,gear,distanceTraveled,fuelConsumed,travelTime,emission,speedLimit,timestamp,brake,fuelConsumed_noRound
"{'x': 400.1289367675781, 'y': 244.98757934570312, 'z': -6393.1163330078125, 'heading': 0.48820027709007263, 'pitch': -0.0003912559768650681, 'roll': -4.648323010769673e-05}",49.25916069181702,7.605573671145094,245.0,0.0,500,24.514,"{'x': -0.0005976592, 'y': 0.00383339077, 'z': 0.000467266538}",30.0861454,0.0,950.3836,0,1000,0.0,1,0,0.0,0.0,1,0.0,50,40141,0,0.0
"{'x': 400.12896728515625, 'y': 244.98760986328125, 'z': -6393.116348266602, 'heading': 0.48820027709007263, 'pitch': -0.0003932291583623737, 'roll': -4.845639705308713e-05}",49.259160691954094,7.605573671564661,245.0,0.0,500,24.514,"{'x': 1.59524352e-05, 'y': -0.00155565073, 'z': -5.60838562e-05}",30.0861511,1.44,950.3832,0,1000,0.0,1,0,0.0,0.0,2,0.001,50,40142,0,0.0004000000000132786
"{'x': 400.12896728515625, 'y': 244.98760986328125, 'z': -6393.116348266602, 'heading': 0.48820027709007263, 'pitch': -0.0003932291583623737, 'roll': -4.845639705308713e-05}",49.259160691954094,7.605573671564661,245.0,0.0,500,24.514,"{'x': 0.000129632972, 'y': -0.00145747839, 'z': 1.736131e-05}",30.0861568,1.44,950.3828,0,929,0.0,0,0,0.0,0.001,3,0.002,50,40143,0,0.0008000000000265572
"{'x': 400.12896728515625, 'y': 244.9875946044922, 'z': -6393.116348266602, 'heading': 0.48820027709007263, 'pitch': -0.0003932291583623737, 'roll': -4.845639705308713e-05}",49.259160691954094,7.605573671564661,245.0,0.0,500,24.514,"{'x': 0.000285749673, 'y': 0.000281556568, 'z': 2.4899693e-05}",30.0861626,1.8,950.3823,0,929,0.0,0,0,0.0,0.001,4,0.003,50,40144,0,0.0013000000000147338
"{'x': 400.1264343261719, 'y': 244.98904418945312, 'z': -6393.080429077148, 'heading': 0.488199919462204, 'pitch': -6.431760994018987e-05, 'roll': -4.4927463022759184e-05}",49.259160369288004,7.605573636740593,245.0,0.5,382,24.514,"{'x': 0.0008103226, 'y': -0.004343029, 'z': -0.3525544}",30.0861931,4.68,950.381,43,929,0.0,0,1,0.14,0.003,5,0.007,50,40145,0,0.0026000000000294676
"{'x': 400.09246826171875, 'y': 244.9893798828125, 'z': -6392.623886108398, 'heading': 0.48819825053215027, 'pitch': 0.00015155429719015956, 'roll': -4.359937156550586e-05}",49.2591562681115,7.6055731697624305,245.0,2.6,572,24.514,"{'x': 0.00136527151, 'y': -0.004807693, 'z': -0.632070959}",30.08662,6.12,950.3793,35,929,0.0,0,1,0.86,0.004,6,0.011,50,40146,0,0.00430000000005748
"{'x': 400.0137939453125, 'y': 244.98779296875, 'z': -6391.568374633789, 'heading': 0.48819711804389954, 'pitch': 0.00020069371385034174, 'roll': -4.7507757699349895e-05}",49.259146786333964,7.6055720881184925,245.0,4.9,1016,24.514,"{'x': -0.00223369664, 'y': -0.004353935, 'z': -0.651071966}",30.0876465,12.24,950.3759,34,929,0.0,0,1,2.22,0.008,7,0.021,50,40147,0,0.007699999999999818
"{'x': 399.88653564453125, 'y': 244.98301696777344, 'z': -6389.860076904297, 'heading': 0.48818033933639526, 'pitch': -0.0002570427895989269, 'roll': -5.0429560360498726e-05}",49.25913144050456,7.605570338523759,245.0,6.4,1291,24.514,"{'x': -0.000786115357, 'y': 0.004189692, 'z': -0.01991099}",30.0893383,11.16,950.3728,0,929,0.0,0,1,4.0,0.011,8,0.029,50,40148,0,0.010800000000017462
"{'x': 399.7566223144531, 'y': 244.98013305664062, 'z': -6388.209487915039, 'heading': 0.48779717087745667, 'pitch': -0.00043728385935537517, 'roll': -1.054884705808945e-05}",49.259116613079215,7.605568552426691,245.0,5.3,1048,24.514,"{'x': -0.021861067, 'y': -0.0004533982, 'z': 0.3894055}",30.091011,0.0,950.3728,0,929,0.0,0,1,5.47,0.011,9,0.029,50,40149,0,0.010800000000017462
"{'x': 399.6450500488281, 'y': 244.9795684814453, 'z': -6386.938629150391, 'heading': 0.48698940873146057, 'pitch': -0.0003349828184582293, 'roll': 1.707547198748216e-06}",49.25910519681291,7.605567018489438,245.0,4.0,788,24.514,"{'x': -0.0006808373, 'y': 0.005443137, 'z': 0.3276457}",30.0923042,0.0,950.3728,3,929,0.0,0,1,6.58,0.011,10,0.029,50,40150,0,0.010800000000017462
"{'x': 399.53778076171875, 'y': 244.98037719726562, 'z': -6385.851135253906, 'heading': 0.4859010875225067, 'pitch': -6.4165833464358e-05, 'roll': 2.1970441594021395e-05}",49.25909542773371,7.605565543711144,245.0,4.0,800,24.514,"{'x': -0.008957896, 'y': 0.00541371573, 'z': -0.0178702343}",30.0933933,5.4,950.3713,0,929,0.0,0,1,7.69,0.012,11,0.033,50,40151,0,0.012299999999981992
"{'x': 399.4388427734375, 'y': 244.98069763183594, 'z': -6384.834899902344, 'heading': 0.48541367053985596, 'pitch': 5.1264363719383255e-05, 'roll': 1.9959330529673025e-05}",49.25908629877799,7.605564183474663,245.0,3.5,713,24.514,"{'x': -0.000477657653, 'y': 0.00152801652, 'z': -0.0008661393}",30.09442,2.52,950.3706,27,929,0.0,0,1,8.66,0.013,12,0.035,50,40152,0,0.013000000000033651
"{'x': 399.3196716308594, 'y': 244.98342895507812, 'z': -6383.648284912109, 'heading': 0.4848330020904541, 'pitch': 0.00046847507474012673, 'roll': 3.2860796636668965e-05}",49.259075639282926,7.605562545065207,245.0,5.0,1039,24.514,"{'x': 0.00155370263, 'y': -0.002065123, 'z': -0.5361452}",30.0955868,13.32,950.3669,29,929,0.0,0,1,10.05,0.017,13,0.045,50,40153,0,0.01670000000001437
"{'x': 399.1463928222656, 'y': 244.9849853515625, 'z': -6381.956237792969, 'heading': 0.48435282707214355, 'pitch': 0.0004992109024897218, 'roll': 3.957714943680912e-05}",49.25906043943457,7.6055601627633145,245.0,6.7,1380,24.514,"{'x': 0.00411492726, 'y': -0.00110825268, 'z': -0.41322}",30.0972633,17.64,950.362,32,929,0.0,0,1,11.91,0.022,14,0.058,50,40154,0,0.021600000000034925
"{'x': 398.9272766113281, 'y': 244.98733520507812, 'z': -6379.876968383789, 'heading': 0.48367682099342346, 'pitch': 0.00038700609002262354, 'roll': 6.162348290672526e-05}",49.25904176112511,7.605557150271664,245.0,7.8,1436,24.514,"{'x': -0.00913588051, 'y': 0.00456359424, 'z': -0.1055346}",30.0993385,15.12,950.3578,0,929,0.0,0,1,14.08,0.026,15,0.069,50,40155,0,0.02580000000000382
"{'x': 398.6929931640625, 'y': 244.99131774902344, 'z': -6377.723922729492, 'heading': 0.4830580949783325, 'pitch': 0.00033505872124806046, 'roll': 8.723668724996969e-05}",49.25902242007539,7.605553929255174,245.0,7.8,938,24.514,"{'x': 0.000507327029, 'y': 0.00448330026, 'z': 0.005725017}",30.1015034,2.16,950.3572,22,929,0.0,0,3,16.25,0.026,16,0.07,50,40156,0,0.026399999999966894
"{'x': 398.43701171875, 'y': 244.99710083007812, 'z': -6375.455505371094, 'heading': 0.48237454891204834, 'pitch': 0.0004721557779703289, 'roll': 0.00010582998220343143}",49.259002042628765,7.6055504099264875,245.0,8.4,1021,24.514,"{'x': -0.019901406, 'y': -0.00311096665, 'z': -0.239367142}",30.1037731,11.88,950.3539,18,929,0.0,0,3,18.58,0.03,17,0.079,50,40157,0,0.02970000000004802
"{'x': 398.148681640625, 'y': 245.00225830078125, 'z': -6372.969207763672, 'heading': 0.4818333089351654, 'pitch': 0.00047094153705984354, 'roll': 0.0001558421499794349}",49.25897970793952,7.605546445856694,245.0,9.2,1109,24.514,"{'x': -0.006352762, 'y': -0.00224422128, 'z': -0.190723479}",30.1062641,11.16,950.3508,21,929,0.0,0,3,21.14,0.033,18,0.088,50,40158,0,0.03279999999995198
"{'x': 397.8254699707031, 'y': 245.0083770751953, 'z': -6370.281478881836, 'heading': 0.48114198446273804, 'pitch': 0.0005175385740585625, 'roll': 0.00012267778220120817}",49.25895556377062,7.605542002221727,245.0,9.9,1200,24.514,"{'x': -0.00203887653, 'y': -0.002535879, 'z': -0.22290273}",30.1089573,13.68,950.347,25,929,0.0,0,3,23.89,0.037,19,0.098,50,40159,0,0.03660000000002128
"{'x': 397.4717712402344, 'y': 245.01524353027344, 'z': -6367.424468994141, 'heading': 0.4805310070514679, 'pitch': 0.0005352211883291602, 'roll': 7.296918192878366e-05}",49.25892989893153,7.605537139439243,245.0,10.7,1290,24.514,"{'x': 0.00161769544, 'y': -0.00216580881, 'z': -0.193129733}",30.111824,14.4,950.343,25,929,0.0,0,3,26.86,0.041,20,0.108,50,40160,0,0.04060000000004038
"{'x': 397.0780029296875, 'y': 245.02378845214844, 'z': -6364.328399658203, 'heading': 0.47996169328689575, 'pitch': 0.0006254935287870467, 'roll': 1.5329978850786574e-05}",49.258902086594695,7.605531725765181,245.0,11.4,1377,24.514,"{'x': 0.00139186089, 'y': -0.005253423, 'z': -0.2348351}",30.1149311,18.0,950.338,48,929,0.0,0,3,30.03,0.046,21,0.122,50,40161,0,0.045600000000035834
