placement,lat,lng,altitude,speed,rpm,payload,accelleration,odometer,fuelRate,totalFuel,accelerator,brakePressure,brakeSwitch,parkingSwitch,gear,distanceTraveled,fuelConsumed,travelTime,emission,speedLimit,timestamp,brake,fuelConsumed_noRound
"{'x': -846.9833679199219, 'y': 443.46295166015625, 'z': -21595.630073547363, 'heading': 0.5077683925628662, 'pitch': -0.004416362382471561, 'roll': -0.00020820692589040846}",49.39572657162783,7.588427904572091,443.5,0.0,500,12.3801006,"{'x': 0.000197394853, 'y': 0.0008906764, 'z': -2.7008e-05}",29.8506012,0.0,699.0736,0,1000,0.0,1,0,0.0,0.0,1,0.0,60,39121,0,0.0
"{'x': -846.9833679199219, 'y': 443.46295166015625, 'z': -21595.630073547363, 'heading': 0.5077683925628662, 'pitch': -0.004416362382471561, 'roll': -0.00020820692589040846}",49.39572657162783,7.588427904572091,443.5,0.0,500,12.3801006,"{'x': 0.000458440656, 'y': 0.00134886033, 'z': -0.000294529716}",29.8506012,1.44,699.0732,0,1000,0.0,1,0,0.0,0.0,2,0.001,60,39122,0,0.0004000000000132786
"{'x': -846.9833679199219, 'y': 443.46295166015625, 'z': -21595.630073547363, 'heading': 0.5077683925628662, 'pitch': -0.00441674143075943, 'roll': -0.0002054369106190279}",49.39572657162783,7.588427904572091,443.5,0.0,500,12.3801006,"{'x': -0.00117221719, 'y': 0.00175487378, 'z': -0.000154805908}",29.8506012,1.44,699.0728,0,1000,0.0,1,0,0.0,0.001,3,0.002,60,39123,0,0.0008000000000265572
"{'x': -846.9833679199219, 'y': 443.4629821777344, 'z': -21595.630073547363, 'heading': 0.5077683925628662, 'pitch': -0.004416096489876509, 'roll': -0.00020816897449549288}",49.39572657162783,7.588427904572091,443.5,0.0,500,12.3801006,"{'x': 8.70122e-05, 'y': -0.00344153331, 'z': -9.92629139e-05}",29.8506012,1.8,699.0723,0,1000,0.0,1,0,0.0,0.001,4,0.003,60,39124,0,0.0013000000000147338
"{'x': -846.9833679199219, 'y': 443.4629821777344, 'z': -21595.630073547363, 'heading': 0.5077683925628662, 'pitch': -0.004415868781507015, 'roll': -0.00020539895922411233}",49.39572657162783,7.588427904572091,443.5,0.0,500,12.3801006,"{'x': -0.0013102669, 'y': -0.002814944, 'z': -9.685541e-05}",29.8506012,1.44,699.0719,0,1000,0.0,1,0,0.0,0.002,5,0.005,60,39125,0,0.0017000000000280124
"{'x': -846.9833679199219, 'y': 443.46295166015625, 'z': -21595.630073547363, 'heading': 0.5077683925628662, 'pitch': -0.0044160205870866776, 'roll': -0.00020539895922411233}",49.39572657162783,7.588427904572091,443.5,0.0,500,12.3801006,"{'x': -0.00139710284, 'y': 0.0006354528, 'z': 0.0006777206}",29.8506012,1.44,699.0715,0,1000,0.0,1,0,0.0,0.002,6,0.006,60,39126,0,0.002100000000041291
"{'x': -846.9833679199219, 'y': 443.46295166015625, 'z': -21595.630073547363, 'heading': 0.5077683925628662, 'pitch': -0.0044160205870866776, 'roll': -0.00020539895922411233}",49.39572657162783,7.588427904572091,443.5,0.0,500,12.3801006,"{'x': -9.500858e-06, 'y': 0.00101795164, 'z': -6.522506e-05}",29.8506012,1.8,699.071,0,1000,0.0,1,0,0.0,0.003,7,0.007,60,39127,0,0.0026000000000294676
"{'x': -846.9833679199219, 'y': 443.46295166015625, 'z': -21595.630073547363, 'heading': 0.5077683925628662, 'pitch': -0.0044160205870866776, 'roll': -0.00020539895922411233}",49.39572657162783,7.588427904572091,443.5,0.0,500,12.3801006,"{'x': -0.000119287586, 'y': 0.000953665643, 'z': 3.94532472e-05}",29.8506012,1.44,699.0706,0,1000,0.0,1,0,0.0,0.003,8,0.008,60,39128,0,0.0030000000000427463
"{'x': -846.9833679199219, 'y': 443.46295166015625, 'z': -21595.630073547363, 'heading': 0.5077683925628662, 'pitch': -0.0044160205870866776, 'roll': -0.00020539895922411233}",49.39572657162783,7.588427904572091,443.5,0.0,500,12.3801006,"{'x': -0.000150059263, 'y': 0.00102380814, 'z': -1.06254984e-05}",29.8506012,1.8,699.0701,0,929,0.0,0,0,0.0,0.004,9,0.009,60,39129,0,0.003500000000030923
"{'x': -846.9806823730469, 'y': 443.462158203125, 'z': -21595.576545715332, 'heading': 0.5077934265136719, 'pitch': -0.004223030060529709, 'roll': -0.00017773669969756156}",49.39572609078134,7.588427941493994,443.5,0.7,388,12.3801006,"{'x': -0.0164171979, 'y': 0.000554759055, 'z': -0.445113}",29.8506489,2.88,699.0693,11,929,0.0,0,1,0.19,0.004,10,0.011,60,39130,0,0.00430000000005748
"{'x': -846.942138671875, 'y': 443.4489440917969, 'z': -21595.04750061035, 'heading': 0.5086165070533752, 'pitch': -0.004093142691999674, 'roll': -0.00024106772616505623}",49.39572133831004,7.588428471407219,443.4,3.0,625,12.3801006,"{'x': -0.0130612059, 'y': -0.00605576765, 'z': -0.6283477}",29.851162,5.4,699.0678,8,929,0.0,0,1,1.02,0.006,11,0.015,60,39131,0,0.00580000000002201
"{'x': -846.8575439453125, 'y': 443.4193420410156, 'z': -21593.949432373047, 'heading': 0.5101107954978943, 'pitch': -0.004205271601676941, 'roll': -0.00037600190262310207}",49.39571147424036,7.588429634447172,443.4,4.3,876,12.3801006,"{'x': -0.006360443, 'y': 0.00438179541, 'z': -0.208743766}",29.8522587,5.76,699.0662,8,929,0.0,0,1,2.21,0.007,12,0.02,60,39132,0,0.007400000000075124
"{'x': -846.7482604980469, 'y': 443.38629150390625, 'z': -21592.677085876465, 'heading': 0.5117103457450867, 'pitch': -0.004078647121787071, 'roll': -0.0004745463375002146}",49.39570004460959,7.588431136916893,443.4,4.8,969,12.3801006,"{'x': 0.0116067259, 'y': -0.008217759, 'z': -0.0981994644}",29.8535366,5.4,699.0647,8,929,0.0,0,1,3.54,0.009,13,0.024,60,39133,0,0.008900000000039654
"{'x': -846.6212463378906, 'y': 443.35186767578125, 'z': -21591.29465484619, 'heading': 0.5131316184997559, 'pitch': -0.003996002022176981, 'roll': -0.000459254311863333}",49.39568762607716,7.58843288315509,443.4,5.0,1012,12.3801006,"{'x': -0.00159495813, 'y': -0.0194886383, 'z': -0.045847062}",29.854929,5.4,699.0632,8,929,0.0,0,1,4.93,0.01,14,0.028,60,39134,0,0.010400000000004184
"{'x': -846.4848022460938, 'y': 443.31793212890625, 'z': -21589.89242553711, 'heading': 0.514313817024231, 'pitch': -0.003951681777834892, 'roll': -0.00041664153104647994}",49.39567502969458,7.588434759039514,443.3,5.1,1034,12.3801006,"{'x': 0.0033565294, 'y': -0.009904945, 'z': -0.0235852785}",29.8563423,5.4,699.0617,8,929,0.0,0,1,6.35,0.012,15,0.032,60,39135,0,0.0119000000000824
"{'x': -846.3354797363281, 'y': 443.28363037109375, 'z': -21588.449417114258, 'heading': 0.5154182314872742, 'pitch': -0.003894839435815811, 'roll': -0.0003455695987213403}",49.395662066988656,7.588436811981247,443.3,5.2,1039,12.3801006,"{'x': 0.00573051348, 'y': -0.00181458879, 'z': 0.00487946}",29.8578,5.4,699.0602,8,929,0.0,0,1,7.79,0.013,16,0.036,60,39136,0,0.01340000000004693
"{'x': -846.17822265625, 'y': 443.2506408691406, 'z': -21587.033081054688, 'heading': 0.5165513753890991, 'pitch': -0.0038257786072790623, 'roll': -0.0002657322911545634}",49.39564934388356,7.588438974010422,443.3,5.1,1034,12.3801006,"{'x': 0.00173359388, 'y': -0.001744445, 'z': 0.0100795748}",29.85923,5.04,699.0588,8,929,0.0,0,1,9.21,0.015,17,0.04,60,39137,0,0.014800000000036562
"{'x': -846.0049743652344, 'y': 443.218505859375, 'z': -21585.580688476562, 'heading': 0.5177326798439026, 'pitch': -0.0035526847932487726, 'roll': -0.00026167213218286633}",49.39563629687873,7.588441355892748,443.2,5.6,1133,12.3801006,"{'x': -0.00556070963, 'y': -0.0009589719, 'z': -0.2466195}",29.8606949,9.0,699.0563,20,929,0.0,0,1,10.77,0.017,18,0.046,60,39138,0,0.01730000000009113
"{'x': -845.7897033691406, 'y': 443.1810607910156, 'z': -21583.879096984863, 'heading': 0.5190648436546326, 'pitch': -0.003423708025366068, 'roll': -0.0002456591173540801}",49.39562101129221,7.588444315518946,443.2,6.5,1310,12.3801006,"{'x': -0.00325715658, 'y': -0.00455117552, 'z': -0.2047367}",29.8624058,11.88,699.053,20,929,0.0,0,1,12.58,0.021,19,0.055,60,39139,0,0.02060000000005857
"{'x': -845.5496520996094, 'y': 443.14056396484375, 'z': -21581.979377746582, 'heading': 0.519538402557373, 'pitch': -0.003378590801730752, 'roll': -0.00015413459914270788}",49.39560394590199,7.588447615833615,443.1,7.0,1419,12.3801006,"{'x': 0.00255512679, 'y': 0.0036691837, 'z': -0.119073495}",29.8643227,12.24,699.0496,20,929,0.0,0,1,14.52,0.024,20,0.064,60,39140,0,0.02400000000000091
"{'x': -845.3033447265625, 'y': 443.0992431640625, 'z': -21579.997352600098, 'heading': 0.5195690989494324, 'pitch': -0.0033439844846725464, 'roll': -9.072767716133967e-05}",49.39558614114861,7.588451002159536,443.1,7.3,1479,12.3801006,"{'x': 0.00191384158, 'y': 0.00378885912, 'z': -0.0622012243}",29.8663216,12.96,699.046,20,929,0.0,0,1,16.55,0.028,21,0.074,60,39141,0,0.02760000000000673
"{'x': -845.0434265136719, 'y': 443.0578918457031, 'z': -21577.918334960938, 'heading': 0.5196666717529297, 'pitch': -0.003236029762774706, 'roll': 3.415094340653013e-07}",49.395567465100825,7.588454575612375,443.1,7.5,1513,12.3801006,"{'x': -0.01793289, 'y': 0.002100654, 'z': -0.035523992}",29.8684216,12.96,699.0424,20,929,0.0,0,1,18.63,0.031,22,0.083,60,39142,0,0.03120000000001255
"{'x': -844.7719116210938, 'y': 443.0186767578125, 'z': -21575.827041625977, 'heading': 0.5202813148498535, 'pitch': -0.003012758446857333, 'roll': 2.6865409381571226e-05}",49.3955486787791,7.588458308500706,443.0,7.7,1451,12.3801006,"{'x': -0.0100792618, 'y': -0.0198456571, 'z': -0.006171594}",29.870533,11.88,699.0391,0,929,0.0,0,1,20.77,0.035,23,0.092,60,39143,0,0.03450000000009368
"{'x': -844.4680786132812, 'y': 442.9815673828125, 'z': -21573.664741516113, 'heading': 0.521659255027771, 'pitch': -0.0026855922769755125, 'roll': 6.261006546992576e-06}",49.39552925459557,7.5884624857105765,443.0,7.8,945,12.3801006,"{'x': -0.06998914, 'y': -0.0056973733, 'z': -0.0945421}",29.8727188,2.52,699.0384,24,929,0.0,0,3,22.94,0.035,24,0.094,60,39144,0,0.03520000000003165
