placement,lat,lng,altitude,speed,rpm,payload,accelleration,odometer,fuelRate,totalFuel,accelerator,brakePressure,brakeSwitch,parkingSwitch,gear,distanceTraveled,fuelConsumed,travelTime,emission,speedLimit,timestamp,brake,fuelConsumed_noRound
"{'x': 16342.400665283203, 'y': 475.72113037109375, 'z': -15169.704193115234, 'heading': 0.5977070927619934, 'pitch': 0.0047922502271831036, 'roll': 2.4209224648075178e-05}",49.33800176134727,7.82475398768363,475.7,-0.0,550,21.5,"{'x': 0.00014665474, 'y': -0.0003816159, 'z': -4.527744e-05}",411339.2,0.0,362.4875,0,872,0.2838878,0,0,0.0,0.0,1,0.0,50,58801,28,0.0
"{'x': 16342.400665283203, 'y': 475.72113037109375, 'z': -15169.704193115234, 'heading': 0.5977070927619934, 'pitch': 0.0047922502271831036, 'roll': 2.4209224648075178e-05}",49.33800176134727,7.82475398768363,475.7,-0.0,550,21.5,"{'x': 8.826324e-05, 'y': -0.000397978147, 'z': 5.652339e-06}",411339.2,2.16,362.4869,0,873,0.2838878,0,0,0.0,0.001,2,0.002,50,58802,28,0.0006000000000199179
"{'x': 16342.400665283203, 'y': 475.72113037109375, 'z': -15169.704193115234, 'heading': 0.5977070927619934, 'pitch': 0.0047922502271831036, 'roll': 2.4209224648075178e-05}",49.33800176134727,7.82475398768363,475.7,-0.0,550,21.5,"{'x': 6.0321654e-05, 'y': -0.000398603966, 'z': -1.44599835e-06}",411339.2,2.52,362.4862,0,874,0.2838878,0,0,0.0,0.001,3,0.003,50,58803,28,0.0013000000000147338
"{'x': 16342.400665283203, 'y': 475.72113037109375, 'z': -15169.704193115234, 'heading': 0.5977070927619934, 'pitch': 0.0047922502271831036, 'roll': 2.4209224648075178e-05}",49.33800176134727,7.82475398768363,475.7,-0.0,550,21.5,"{'x': 6.302124e-05, 'y': -0.0004000346, 'z': 3.621763e-06}",411339.2,2.52,362.4855,0,875,0.2838878,0,0,0.0,0.002,4,0.005,50,58804,28,0.0020000000000095497
"{'x': 16342.400665283203, 'y': 475.7210998535156, 'z': -15169.704193115234, 'heading': 0.5977070927619934, 'pitch': 0.0047922502271831036, 'roll': 2.4209224648075178e-05}",49.33800176134727,7.82475398768363,475.7,-0.0,550,21.5,"{'x': 0.000125396589, 'y': 0.00721881539, 'z': 0.000531423429}",411339.2,2.52,362.4848,0,877,0.2838878,0,0,0.0,0.003,5,0.007,50,58805,28,0.0027000000000043656
"{'x': 16342.400665283203, 'y': 475.72113037109375, 'z': -15169.704193115234, 'heading': 0.5977070927619934, 'pitch': 0.0047922502271831036, 'roll': 2.4209224648075178e-05}",49.33800176134727,7.82475398768363,475.7,-0.0,550,21.5,"{'x': -9.677497e-05, 'y': 0.00130564917, 'z': -0.0002517438}",411339.2,2.52,362.4841,0,878,0.2838878,0,0,0.0,0.003,6,0.009,50,58806,28,0.0033999999999991815
"{'x': 16342.39682006836, 'y': 475.72088623046875, 'z': -15169.70947265625, 'heading': 0.5977071523666382, 'pitch': 0.004786330740898848, 'roll': 1.9921384591725655e-05}",49.33800180877398,7.824753934818178,475.7,-0.1,588,21.5,"{'x': 0.0003709838, 'y': 0.00586245675, 'z': 0.06375287}",411339.2,3.24,362.4832,11,879,0.0,0,3,-0.03,0.004,7,0.011,50,58807,0,0.004300000000000637
"{'x': 16342.495788574219, 'y': 475.7310485839844, 'z': -15169.567474365234, 'heading': 0.597655713558197, 'pitch': 0.005625798832625151, 'roll': 2.06044023798313e-05}",49.33800053318746,7.824755295474226,475.7,1.9,568,21.5,"{'x': 0.00480967, 'y': -0.0375776552, 'z': -1.03471243}",411339.2,17.28,362.4784,87,880,0.0,0,3,0.5,0.009,8,0.024,50,58808,0,0.00909999999998945
"{'x': 16343.225372314453, 'y': 475.7761535644531, 'z': -15168.52212524414, 'heading': 0.5973731279373169, 'pitch': 0.0065224128775298595, 'roll': 0.00012229832645971328}",49.337991142699494,7.824765326064461,475.8,6.9,1378,21.5,"{'x': 0.0373131745, 'y': -0.0384984054, 'z': -1.67157018}",411339.2,40.68,362.4671,85,882,0.0,0,3,2.42,0.02,9,0.054,50,58809,0,0.02039999999999509
"{'x': 16344.697479248047, 'y': 475.8669738769531, 'z': -15166.312591552734, 'heading': 0.5943194627761841, 'pitch': 0.0063322680070996284, 'roll': 0.00032617946271784604}",49.33797129421143,7.824785565141374,475.9,10.3,1243,21.5,"{'x': -0.00152993808, 'y': 0.009878954, 'z': -0.310079455}",411339.2,12.24,362.4637,14,885,0.0,0,5,5.28,0.024,10,0.064,50,58810,0,0.02379999999999427
