mean_speed,std_speed,max_speed,mean_accelerator,std_accelerator,max_accelerator,mean_brake,max_brake,tempo_con_freno,mean_rpm,std_rpm,gear_changes,mean_fuelRate,max_fuelRate,distance_traveled,duration_sec,IDS,stile_guida
23.899290780141847,17.914477371484057,55.4,12.46808510638298,20.241242618366154,100.0,939.1205673758864,1000,141,1061.900709219858,270.3671658257272,25,9.36,46.08,0.956000000005588,140,0.2857142857142857,calmo
23.899290780141847,17.914477371484057,55.4,12.46808510638298,20.241242618366154,100.0,939.1205673758864,1000,141,1061.900709219858,270.3671658257272,25,9.36,46.08,0.956000000005588,140,0.375,medio
23.899,17.914,55.4,12.468,20.241,100.0,939.121,1000,141,1061.901,270.367,25,9.36,46.08,0.956,140,0.444,medio
85.69,13.283,101.4,11.006,30.317,100.0,1133.429,1272,23659,1446.107,180.428,141,29.404,82.0,295335.0,12395863,0.4,medio
62.782,20.236,100.0,32.504,34.382,100.0,947.917,1000,1812,1116.377,141.557,89,21.289,87.48,38.896,1811,0.364,medio
58.815,23.631,90.0,34.578,34.366,100.0,953.024,1000,2063,1149.636,207.851,104,21.366,83.52,39117.724,2062,0.763,aggressivo
73.332,30.664,143.4,79.237,34.312,100.0,939.935,1000,1344,1228.109,204.262,103,48.314,83.52,31.363,1343,0.763,aggressivo
52.238,31.65,145.2,39.261,40.873,100.0,935.923,1000,2312,1126.589,301.496,108,21.306,69.48,33.895,2311,0.657,medio
1.112,2.781,9.3,4.51,11.307,39.0,824.235,853,98,645.633,266.893,3,3.156,14.4,0.0,97,0.657,medio
44.008,24.468,66.9,36.525,21.675,62.0,948.033,1000,183,1074.12,245.199,14,14.849,26.64,2.237,182,0.68,medio
