mean_speed,std_speed,max_speed,mean_accelerator,std_accelerator,max_accelerator,mean_brake,max_brake,tempo_con_freno,mean_rpm,std_rpm,gear_changes,mean_fuelRate,max_fuelRate,distance_traveled,duration_sec,IDS,stile_guida
0.391,0.171,3.487,0.778,0.912,0.914,0.137,1.348,0.076,1.22,0.501,6,0.127,1.448,13.687,859,0.824,aggressivo
0.311,0.254,9.385,0.941,0.322,0.484,0.899,1.407,0.689,1.05,0.957,15,0.757,1.207,10.9,744,0.586,medio
1.084,1.439,3.927,0.962,1.297,1.178,1.485,1.277,0.394,0.417,1.222,19,1.028,1.066,13.373,524,0.667,medio
0.19,1.36,4.897,0.521,1.153,0.523,1.207,1.027,0.369,1.291,0.772,3,1.357,1.092,6.305,879,0.805,aggressivo
0.791,0.855,8.29,0.441,1.348,1.272,1.119,1.212,0.008,1.035,0.989,28,1.055,0.793,12.06,556,0.606,medio
0.866,1.035,5.213,0.857,0.402,0.798,0.484,0.448,0.342,0.121,0.194,22,0.669,0.521,9.744,855,0.562,medio
1.005,0.986,4.518,1.081,1.278,1.396,1.457,0.946,0.584,1.243,1.182,6,0.622,1.128,11.437,677,0.566,medio
0.726,0.234,2.67,0.951,0.261,1.48,1.079,0.48,0.737,1.001,1.199,14,1.374,0.837,8.015,707,0.92,aggressivo
0.237,1.34,9.713,0.231,0.985,0.988,1.0,0.31,0.768,0.814,0.156,18,0.817,0.885,5.803,674,0.672,medio
1.097,0.286,2.696,0.871,0.691,1.032,0.257,0.303,0.875,0.216,0.612,10,0.896,0.169,7.534,882,0.811,aggressivo
0.775,1.203,7.332,1.175,1.09,0.446,0.763,0.847,0.734,0.86,0.268,19,0.546,0.933,5.79,756,0.617,medio
1.344,0.813,3.112,0.405,1.026,1.249,0.336,0.755,0.447,1.394,1.313,6,1.453,1.479,8.646,668,0.337,calmo
0.156,0.625,2.502,0.648,1.232,1.463,1.343,0.269,0.367,0.905,0.398,21,0.473,0.636,4.188,674,0.636,medio
0.719,0.163,0.345,1.133,0.237,1.267,0.555,0.282,0.76,0.508,0.186,15,0.763,0.118,4.49,485,0.87,aggressivo
0.724,0.523,8.282,0.91,0.118,1.175,0.619,0.87,0.923,0.854,0.924,7,0.373,0.276,14.102,491,0.296,calmo
1.358,0.832,4.01,0.332,0.194,1.355,1.475,0.366,0.055,0.374,0.154,24,0.479,0.358,10.736,883,0.588,medio
0.562,0.173,8.389,0.29,1.112,0.606,0.81,0.983,0.454,0.832,0.971,17,1.459,0.905,12.133,997,0.827,aggressivo
0.972,0.704,6.147,0.827,0.204,0.406,0.689,1.033,0.678,0.267,1.385,27,1.356,0.238,7.656,371,0.32,calmo
1.336,0.43,6.08,1.379,1.435,0.625,0.522,0.792,0.565,0.766,0.146,26,0.543,0.373,7.802,686,0.887,aggressivo
1.251,0.893,6.283,0.184,0.875,0.891,1.369,0.943,0.295,0.489,0.52,29,1.108,1.385,8.807,577,0.308,calmo
1.482,0.749,5.529,1.197,0.93,1.262,1.019,0.168,0.42,1.352,1.354,10,1.062,0.994,13.954,899,0.88,aggressivo
0.676,0.977,7.323,0.795,0.388,0.236,0.639,0.119,0.025,1.41,1.032,11,1.367,0.716,3.309,483,0.325,calmo
1.285,1.359,7.227,0.222,1.021,0.34,0.275,1.279,0.87,0.635,0.29,12,1.362,0.385,3.332,483,0.648,medio
1.414,1.023,4.593,0.118,0.146,0.393,0.972,1.351,0.869,0.338,1.442,9,0.945,0.932,11.601,735,0.632,medio
0.918,0.336,6.287,0.824,1.38,1.2,1.438,0.377,0.484,0.511,0.337,14,0.678,0.669,8.617,583,0.352,calmo
1.114,0.608,2.593,0.587,0.575,1.129,0.278,1.344,0.938,0.747,1.173,8,1.163,1.376,11.722,442,0.585,medio
0.262,0.303,3.807,0.2,1.192,0.585,0.761,1.208,0.408,0.538,0.332,14,1.433,0.712,9.991,750,0.418,calmo
1.172,0.324,2.621,0.165,0.455,1.036,0.773,0.888,0.832,1.264,0.712,4,0.319,0.121,3.042,786,0.946,aggressivo
0.707,1.344,1.056,1.22,0.352,1.124,0.348,1.055,0.919,1.391,0.763,6,0.434,0.565,14.269,946,0.786,aggressivo
